date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-23 14:19:53,lasisielenu,,338,283,1987,"IF ONE MORE PERSON TAGS, MENTIONS, OR SENDs ME THIS PIC AGAIN AND SAYS HE LOOKS LIKE ME, WE WOULD HAVE A BIG PROBLEM OOOOO. YOU DEY MAAD NI pic.twitter.com/fXePYMYQ1C",,,,1231584466553974784,https://twitter.com/lasisielenu/status/1231584466553974784
2020-02-21 08:25:13,lasisielenu,,133,561,2133,"My father my father pic.twitter.com/vz2DlvLvJp",,,,1230770435962232832,https://twitter.com/lasisielenu/status/1230770435962232832
2020-02-21 08:20:24,lasisielenu,,255,1341,4842,"My father my father part 1pic.twitter.com/UHsLdpzqSP",,,,1230769223833571332,https://twitter.com/lasisielenu/status/1230769223833571332
2020-02-19 07:50:13,lasisielenu,,747,2489,7736,"What do you think Sinzu Money eventually did? Hit the link now https://youtu.be/BeGqWcQ-1r8 Tag 5 friends who you know will come to your aid if it were you. #spending #jacuzzi #sinzumoney #lifestyle #lasisielenupic.twitter.com/F4z8nE1UNa",,,#spending #jacuzzi #sinzumoney #lifestyle #lasisielenupic,1230036853153304576,https://twitter.com/lasisielenu/status/1230036853153304576
2020-02-16 18:59:47,lasisielenu,,274,891,4150,"Goodnightpic.twitter.com/bX4bRfjUy2",,,,1229118190887866371,https://twitter.com/lasisielenu/status/1229118190887866371
2020-02-15 11:23:53,lasisielenu,KraksTV,19,107,538,"Okay that was fast https://twitter.com/KraksTV/status/1228044410006339584 …",,,,1228641072475254784,https://twitter.com/lasisielenu/status/1228641072475254784
2020-02-15 11:23:51,lasisielenu,,423,852,4058,"Tag 5 people you know didn’t have the best of Valentine. Tag yourself if you follow #spending #sinzumoney #lasisielenu #jacuzzi #zaaddy #painedpic.twitter.com/BVCXdFQHus",,,#spending #sinzumoney #lasisielenu #jacuzzi #zaaddy #painedpic,1228641063969153024,https://twitter.com/lasisielenu/status/1228641063969153024
2020-02-14 07:35:13,lasisielenu,,693,2135,7609,"Some people’s girlfriends will not pick their calls today. Zaaddy is in town.pic.twitter.com/cH0WD6ygbA",,,,1228221140864159744,https://twitter.com/lasisielenu/status/1228221140864159744
2020-02-13 16:52:35,lasisielenu,,28,17,184,"This should be fun let’s go... Vote YES or NO should onion & groundnut marry? #OG2020 YES NO",,,#OG2020,1227999015712804869,https://twitter.com/lasisielenu/status/1227999015712804869
2020-02-13 06:26:12,lasisielenu,,150,624,3014,"Tag a jealous lover. #lasisielenu #lasisified #sinzumoney #jacuzzi #spendingpic.twitter.com/ZAzopUriqj",,,#lasisielenu #lasisified #sinzumoney #jacuzzi #spendingpic,1227841383072960512,https://twitter.com/lasisielenu/status/1227841383072960512
2020-02-12 15:58:56,lasisielenu,,62,39,553,"Imagine checking to see what’s trending on the news only to see onions and groundnut are getting married on valentine's day... reply with your first reaction cuz I think this is such a very weird combo!!!... #OG2020",,,#OG2020,1227623128999907328,https://twitter.com/lasisielenu/status/1227623128999907328
2020-02-12 08:28:37,lasisielenu,,148,610,2873,"Last part of the video guys. it always ends in tearspic.twitter.com/j9oGzMpbP5",,,,1227509803200712704,https://twitter.com/lasisielenu/status/1227509803200712704
2020-02-12 08:25:23,lasisielenu,,197,1030,3657,"Our mums Tag as many friends as you can. #lasisielenu #simzumomey #spending #lasisified #jacuzzipic.twitter.com/5JRAcLIsi5",,,#lasisielenu #simzumomey #spending #lasisified #jacuzzipic,1227508987656048642,https://twitter.com/lasisielenu/status/1227508987656048642
2020-02-11 10:31:08,lasisielenu,,385,709,4056,"If you don’t know the song it means from now on when you wake up you must come on my page and say Good morning Uncle Lasisi Elenu Who sang the song? #lasisielenu #lasisified #simzumoney #spending #jacuzzi #lifestyle #spartacus #brasegun #zaddy #poetrypic.twitter.com/35hrzOogYb",,,#lasisielenu #lasisified #simzumoney #spending #jacuzzi #lifestyle #spartacus #brasegun #zaddy #poetrypic,1227178248163004417,https://twitter.com/lasisielenu/status/1227178248163004417
2020-02-09 19:33:20,lasisielenu,,93,279,1717,"A Sunday I would never forget Hit the link to watch full video. https://youtu.be/w070yylBl3A pic.twitter.com/iPyaBipbW1",,,,1226589919247831041,https://twitter.com/lasisielenu/status/1226589919247831041
2020-02-07 08:06:50,lasisielenu,,210,609,3518,"A friend in you ft @Sydneytalkerr #lasisified #lasisielenu #spending #jacuzzi #tgifpic.twitter.com/TiLMbgAgbk",,@Sydneytalkerr,#lasisified #lasisielenu #spending #jacuzzi #tgifpic,1225692380688306177,https://twitter.com/lasisielenu/status/1225692380688306177
2020-02-06 07:21:22,lasisielenu,,139,38,505,"It’s TBT guys!! Now I think about it and just smile. How time flies. Still hate Chemistry but love Mr Campus now. Tag your friends. #sinzumoney #lasisified #lasisielenu #spending #jacuzzi #tbtpic.twitter.com/n3tYRCD3Cm",,,#sinzumoney #lasisified #lasisielenu #spending #jacuzzi #tbtpic,1225318552149864449,https://twitter.com/lasisielenu/status/1225318552149864449
2020-02-05 19:21:33,lasisielenu,Skillz_fir3,62,101,626,"I am not associated or aware of such a giveaway. Please be informed. Just incase the person says you should send money for him/her to deliver the phone to you. Stay #lasisified.https://twitter.com/Skillz_fir3/status/1225130599175872512 …",,,#lasisified,1225137403809214472,https://twitter.com/lasisielenu/status/1225137403809214472
2020-02-05 07:22:56,lasisielenu,,1224,4098,12816,"It always end in tears Tag as many African friends and siblings as you can. #lasisielenu #lasisified #sinzumoney #pained #jacuzzi #spending #africanhomes #childhoodmemoriespic.twitter.com/ac8l66QMLX",,,#lasisielenu #lasisified #sinzumoney #pained #jacuzzi #spending #africanhomes #childhoodmemoriespic,1224956555621294081,https://twitter.com/lasisielenu/status/1224956555621294081
2020-02-04 07:16:23,lasisielenu,,714,3019,9708,"Never piss em Off. Tag some friends and #lasisielenu #lasisified #sinzumoney #jacuzzi #spending #spartacuspic.twitter.com/b3A2XPchtz",,,#lasisielenu #lasisified #sinzumoney #jacuzzi #spending #spartacuspic,1224592521667497985,https://twitter.com/lasisielenu/status/1224592521667497985
2020-02-03 13:02:51,lasisielenu,,394,1112,5794,"I'm just tired abeg. Its only in this Nigeria someone will turn 2 bedroom flat to full secondary school with staff rooms yet the school name have international in it you dey mad ni?",,,,1224317322355269633,https://twitter.com/lasisielenu/status/1224317322355269633
2020-01-31 18:02:24,lasisielenu,,213,280,2344,"What will I not hear in this life ehn. Babalawo that have provision shop",,,,1223305546276786177,https://twitter.com/lasisielenu/status/1223305546276786177
2020-01-31 06:19:28,lasisielenu,,165,342,1914,"Date Night. The End Animation by @gnextstudios #lasisielenu #lasisified #sinzumoney #animation #comedypic.twitter.com/9KW8vVFtno",,@gnextstudios,#lasisielenu #lasisified #sinzumoney #animation #comedypic,1223128644769517568,https://twitter.com/lasisielenu/status/1223128644769517568
2020-01-30 16:58:19,lasisielenu,,193,521,2731,"pic.twitter.com/pP3qqkgXQa",,,,1222927029261291522,https://twitter.com/lasisielenu/status/1222927029261291522
2020-01-30 06:30:49,lasisielenu,,106,687,2988,"Tag 5 friends to catch their sub. I think I’m number 3 #lasisielenu #lasisified #sinzumoney #jacuzzi #spendingpic.twitter.com/hmkNQktEn8",,,#lasisielenu #lasisified #sinzumoney #jacuzzi #spendingpic,1222769114239963136,https://twitter.com/lasisielenu/status/1222769114239963136
2020-01-27 07:38:55,lasisielenu,,66,222,1250,"Date night part 5 To be continued.pic.twitter.com/D1x1tWRSu6",,,,1221699089668231170,https://twitter.com/lasisielenu/status/1221699089668231170
2020-01-27 07:25:51,lasisielenu,,59,243,1331,"Date night part 4 to be cont.pic.twitter.com/MeO1lkqkKI",,,,1221695802151776258,https://twitter.com/lasisielenu/status/1221695802151776258
2020-01-26 13:49:52,lasisielenu,,70,194,1380,"I am going for deliverance Hit the link to watch full video on YouTube. Remember to subscribe for more updates. https://youtu.be/bSMK_5dfv64 #lasisielenu #lasisified #sinzumoney #laslas #spending #spartacus #jacuzzi #pained #sundayrantpic.twitter.com/Man2BpIBql",,,#lasisielenu #lasisified #sinzumoney #laslas #spending #spartacus #jacuzzi #pained #sundayrantpic,1221430053428432896,https://twitter.com/lasisielenu/status/1221430053428432896
2020-01-24 13:54:21,lasisielenu,Peace_talks_,5,9,159,"Ahn han aunty the thing really pain you oooo https://twitter.com/Peace_talks_/status/1220671829616009216 …",,,,1220706407835717633,https://twitter.com/lasisielenu/status/1220706407835717633
2020-01-24 13:53:29,lasisielenu,OGAboss_gbenga,43,102,634,"This man must have been with NTA since independence dayhttps://twitter.com/OGAboss_gbenga/status/1220699532880744448 …",,,,1220706187664134144,https://twitter.com/lasisielenu/status/1220706187664134144
2020-01-24 13:52:04,lasisielenu,bibiana_merick,13,28,261,"Seems those fathers all went to the same school wicked lotshttps://twitter.com/bibiana_merick/status/1220627724802363392 …",,,,1220705832524009472,https://twitter.com/lasisielenu/status/1220705832524009472
2020-01-24 13:45:22,lasisielenu,damehro,14,12,196,"You are not alone on this journey sir https://twitter.com/damehro/status/1220617721634836481 …",,,,1220704145063194624,https://twitter.com/lasisielenu/status/1220704145063194624
2020-01-24 06:23:42,lasisielenu,,825,2555,8443,"The pain was endless. Tag 5 friends to remind them of what it was like.pic.twitter.com/OT8NOFPDlv",,,,1220592996518973440,https://twitter.com/lasisielenu/status/1220592996518973440
2020-01-22 06:34:27,lasisielenu,,42,230,1391,"A cry for help Nigeria. Tag 5 friends capable of doing this.pic.twitter.com/WJJK2O1o2j",,,,1219870926357090304,https://twitter.com/lasisielenu/status/1219870926357090304
2020-01-21 06:02:43,lasisielenu,,370,1312,4065,"Narcos Remake Gone Wrong. Tag 5 friends that love drug movies. Ft @crazeclown @SamAndCasOkanpic.twitter.com/B5JNZwKlJa",,@crazeclown @SamAndCasOkanpic,,1219500550372413440,https://twitter.com/lasisielenu/status/1219500550372413440
2020-01-20 23:14:39,lasisielenu,KingTylah,21,27,366,"Naija way https://twitter.com/KingTylah/status/1216636603889856512 …",,,,1219397857150631936,https://twitter.com/lasisielenu/status/1219397857150631936
2020-01-20 06:49:07,lasisielenu,,770,2962,10559,"Tag 5 friends #Sinzumoney #jacuzzi #spending #lasisielenupic.twitter.com/fV7QADdm2L",,,#Sinzumoney #jacuzzi #spending #lasisielenupic,1219149843110801409,https://twitter.com/lasisielenu/status/1219149843110801409
2020-01-16 11:57:23,lasisielenu,,197,590,2255,"Date night part 3 pic.twitter.com/P43xMeRfWF",,,,1217777868920557574,https://twitter.com/lasisielenu/status/1217777868920557574
2020-01-16 11:06:18,lasisielenu,,112,540,2432,"Date night art 2 pic.twitter.com/D8FaQ9gu39",,,,1217765010618884097,https://twitter.com/lasisielenu/status/1217765010618884097
2020-01-13 07:29:17,lasisielenu,,461,1626,7449,"Felt like living in bondage every damn day. Tag a sibling and friends. pic.twitter.com/vXuJzgihrk",,,,1216623233451143169,https://twitter.com/lasisielenu/status/1216623233451143169
