date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-23 12:12:02,_Taaooma,,14,35,651,"Happy birthday my sweetheart, may God keep blessing you and grant all your heart desires mi amor @theRealAbula",,@theRealAbula,,1231552294350675968,https://twitter.com/_Taaooma/status/1231552294350675968
2020-02-23 08:00:54,_Taaooma,Mr_dotman,2,1,5,"Noon",,,,1231489092040450048,https://twitter.com/_Taaooma/status/1231489092040450048
2020-02-23 07:42:22,_Taaooma,,71,103,2230,"I ate Amala yesterday after a long time . Oh my dear Amala!!!!",,,,1231484430797152257,https://twitter.com/_Taaooma/status/1231484430797152257
2020-02-22 22:36:12,_Taaooma,haykay_sL,41,24,669,"Thank you The love I have for you is big",,,,1231346983358599169,https://twitter.com/_Taaooma/status/1231346983358599169
2020-02-21 21:57:25,_Taaooma,OnegodFather_,20,133,878,"“I will get back to you” .https://twitter.com/onegodfather_/status/1230803514747740160 …",,,,1230974835360256003,https://twitter.com/_Taaooma/status/1230974835360256003
2020-02-21 21:48:30,_Taaooma,AinaTemitope10,7,19,249,"Meeeeeeee right HERE!!!!!https://twitter.com/AinaTemitope10/status/1230972331142631426 …",,,,1230972589977239552,https://twitter.com/_Taaooma/status/1230972589977239552
2020-02-21 21:47:31,_Taaooma,Demo__UK,1,1,23,"pic.twitter.com/wXdhJvNut7",,,,1230972341225689088,https://twitter.com/_Taaooma/status/1230972341225689088
2020-02-21 21:41:34,_Taaooma,Demo__UK,1,0,6,"",,,,1230970844161114112,https://twitter.com/_Taaooma/status/1230970844161114112
2020-02-21 21:17:41,_Taaooma,,178,527,5336,"Bomboclat !!pic.twitter.com/fyH6h0ti4c",,,,1230964834163920897,https://twitter.com/_Taaooma/status/1230964834163920897
2020-02-21 21:16:57,_Taaooma,OnegodFather_,4,1,142,"permit me to steal",,,,1230964650143047680,https://twitter.com/_Taaooma/status/1230964650143047680
2020-02-21 09:45:39,_Taaooma,,768,4927,17286,"These days you have to be smart with your wife pic.twitter.com/lz4VDK2UZ3",,,,1230790679598653440,https://twitter.com/_Taaooma/status/1230790679598653440
2020-02-21 08:26:51,_Taaooma,,420,975,14436,"Be You The world will adjust pic.twitter.com/zZcsIm46sk",,,,1230770846186102785,https://twitter.com/_Taaooma/status/1230770846186102785
2020-02-21 07:30:25,_Taaooma,mesigojnr,32,196,1339,"Take a look at God https://twitter.com/mesigojnr/status/1230670568275562496 …",,,,1230756646755790849,https://twitter.com/_Taaooma/status/1230756646755790849
2020-02-21 01:06:44,_Taaooma,S11E11B11A,102,638,2493,"This is exactly how people feel when they go through any form of bullying. I went through it in high school.. TERRIBLE !!!https://twitter.com/s11e11b11a/status/1230428038304849920 …",,,,1230660090992218113,https://twitter.com/_Taaooma/status/1230660090992218113
2020-02-20 19:29:27,_Taaooma,,9,30,491,"My biggest inspiration ever? @theRealAbula !!! Can you please make a few skits again? Come out of retirement na. Give music videos a break juh",,@theRealAbula,,1230575210014920705,https://twitter.com/_Taaooma/status/1230575210014920705
2020-02-20 19:25:33,_Taaooma,Pintojoke,1,0,9,"Well... @theRealAbula is the king when it comes to that .",,@theRealAbula,,1230574226337390593,https://twitter.com/_Taaooma/status/1230574226337390593
2020-02-20 19:24:20,_Taaooma,_beeebah,26,85,2113,"Thanks for having me https://twitter.com/_beeebah/status/1230573108337238016 …",,,,1230573919758888961,https://twitter.com/_Taaooma/status/1230573919758888961
2020-02-19 18:22:29,_Taaooma,legendarylekzzy,1,0,2,"",,,,1230195967703605248,https://twitter.com/_Taaooma/status/1230195967703605248
2020-02-19 17:31:48,_Taaooma,twyse_116,22,164,1238,"https://twitter.com/twyse_116/status/1229990787733213185 …",,,,1230183213370355713,https://twitter.com/_Taaooma/status/1230183213370355713
2020-02-19 17:20:50,_Taaooma,EdoFirstLady,1,0,7,"It’s for the tutorial to be sweet o",,,,1230180451941265408,https://twitter.com/_Taaooma/status/1230180451941265408
2020-02-19 16:28:10,_Taaooma,UnclePamilerin,6,4,175,"You forgot to use bronzer oooo",,,,1230167200952135682,https://twitter.com/_Taaooma/status/1230167200952135682
2020-02-19 00:06:54,_Taaooma,DaddieNicco,3,0,13,"Ubbe is an idiot and Bjorn is foolish",,,,1229920257495764993,https://twitter.com/_Taaooma/status/1229920257495764993
2020-02-18 23:45:10,_Taaooma,TitusJulius9,4,1,69,"No be me and you opic.twitter.com/JLXO4nU3WI",,,,1229914785426309120,https://twitter.com/_Taaooma/status/1229914785426309120
2020-02-18 23:42:29,_Taaooma,OmoKiikan,51,101,841,"WIKIPEDIA Ni!!!https://twitter.com/omokiikan/status/1229812752174256129 …",,,,1229914110508269569,https://twitter.com/_Taaooma/status/1229914110508269569
2020-02-18 23:40:49,_Taaooma,,127,127,1805,"Ragnar Lothbrok Athlestan Lagather",,,,1229913693686845441,https://twitter.com/_Taaooma/status/1229913693686845441
2020-02-18 11:41:35,_Taaooma,twyse_116,0,0,19,"",,,,1229732692373188608,https://twitter.com/_Taaooma/status/1229732692373188608
2020-02-18 11:36:09,_Taaooma,twyse_116,32,7,113,"My question is how will she stand up for there ?",,,,1229731322379296768,https://twitter.com/_Taaooma/status/1229731322379296768
2020-02-18 09:00:55,_Taaooma,UnclePamilerin,7,8,310,"pic.twitter.com/UhhIyD3zUf",,,,1229692256774447105,https://twitter.com/_Taaooma/status/1229692256774447105
2020-02-17 17:53:57,_Taaooma,,146,719,5724,"Just because I asked you to borrow me your pen inside the bank you are now looking at me like you are God’s class captain It’s pen that I borrowed I dinor kill person.",,,,1229464013618192384,https://twitter.com/_Taaooma/status/1229464013618192384
2020-02-17 11:55:13,_Taaooma,onomestephanie,32,71,1226,"Yes, she’s a Muslim",,,,1229373734965972993,https://twitter.com/_Taaooma/status/1229373734965972993
2020-02-17 10:03:59,_Taaooma,,94,47,969,"Tag all the generators you know",,,,1229345741157666816,https://twitter.com/_Taaooma/status/1229345741157666816
2020-02-17 09:53:02,_Taaooma,,1309,7566,26023,"I only answered a question o Ha!pic.twitter.com/eNHJcgKOmi",,,,1229342987085320192,https://twitter.com/_Taaooma/status/1229342987085320192
2020-02-16 19:23:58,_Taaooma,,713,5148,16873,"Oluwa wetin Dey undertake. Why do mothers do this?!pic.twitter.com/0NQfND3riu",,,,1229124279456890881,https://twitter.com/_Taaooma/status/1229124279456890881
2020-02-16 14:38:53,_Taaooma,Marrthingz,117,326,3503,"TAAOOMA is the correct spelling https://twitter.com/marrthingz/status/1229048645527506944 …",,,,1229052533232013312,https://twitter.com/_Taaooma/status/1229052533232013312
2020-02-16 08:28:26,_Taaooma,sireayo,3,0,68,"pic.twitter.com/1DnBlv7tsP",,,,1228959306214727682,https://twitter.com/_Taaooma/status/1228959306214727682
