date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-23 17:19:52,Sydney_Talker,,17,96,516,"Questions you’ll need to ask before getting a life partnerpic.twitter.com/ZFVKGIoWe5",,,,1231629761341988864,https://twitter.com/Sydney_Talker/status/1231629761341988864
2020-02-23 14:02:14,Sydney_Talker,,118,51,1294,"the best upcoming videographer you know Suggest below",,,,1231580026241503232,https://twitter.com/Sydney_Talker/status/1231580026241503232
2020-02-22 10:24:33,Sydney_Talker,,105,606,7505,"TMG *TOWEL MEN GENG* pic.twitter.com/KUhTsVkG6h",,,,1231162856160317440,https://twitter.com/Sydney_Talker/status/1231162856160317440
2020-02-21 08:36:14,Sydney_Talker,,1448,10661,33683,"When you don’t know how to swimpic.twitter.com/IYrGrLzKfY",,,,1230773211542896642,https://twitter.com/Sydney_Talker/status/1230773211542896642
2020-02-20 08:42:06,Sydney_Talker,,151,856,11209,"LOVE IS BEYOND WHAT YOU SEEpic.twitter.com/Fm0Si9F7bw",,,,1230412299657195520,https://twitter.com/Sydney_Talker/status/1230412299657195520
2020-02-15 15:20:57,Sydney_Talker,,109,611,6068,"Honestly! I just want to be one of the GREATEST COMEDIANS. There’s room for everybody. NO COMPARISON please!!!",,,,1228700734138601477,https://twitter.com/Sydney_Talker/status/1228700734138601477
2020-02-15 14:46:33,Sydney_Talker,,303,1583,16751,"TRUE LOVE pic.twitter.com/YKLHxFmGAV",,,,1228692073831944192,https://twitter.com/Sydney_Talker/status/1228692073831944192
2020-02-14 08:18:15,Sydney_Talker,,3908,14743,45138,"Where can this kind of love be found #TalkersValentineSkitpic.twitter.com/3GN1Spr5EQ",,,#TalkersValentineSkitpic,1228231970720628738,https://twitter.com/Sydney_Talker/status/1228231970720628738
2020-02-13 15:57:08,Sydney_Talker,,9,60,928,"Lmfao you guys are actually supporting this union? Let’s settle this once and for all, Rt if you support onions & groundnut’s union, LIKE if you don’t #Og2020",,,#Og2020,1227985063863820289,https://twitter.com/Sydney_Talker/status/1227985063863820289
2020-02-12 20:26:58,Sydney_Talker,,337,2022,6950,"Some Ushers can really make me feel like this I swear!pic.twitter.com/VobXuMEXDR",,,,1227690581633179648,https://twitter.com/Sydney_Talker/status/1227690581633179648
2020-02-12 14:48:36,Sydney_Talker,,91,67,1293,"If you marry onions and groundnuts what will their children be called? #OG2020",,,#OG2020,1227605426327478274,https://twitter.com/Sydney_Talker/status/1227605426327478274
2020-02-12 12:34:56,Sydney_Talker,,161,1800,7992,"E sure me say there are many people on this twitter that can accept this onions & groundnut union.... Tag them & run #OG2020pic.twitter.com/rqk6bx7eWM",,,#OG2020pic,1227571788923768832,https://twitter.com/Sydney_Talker/status/1227571788923768832
2020-02-06 08:13:31,Sydney_Talker,,531,5594,21134,"Time waits for nobody!pic.twitter.com/bmXCIGyAOY",,,,1225331673073623040,https://twitter.com/Sydney_Talker/status/1225331673073623040
2020-02-05 09:26:34,Sydney_Talker,,552,5560,22373,"Thief meet robberpic.twitter.com/Y8AKYoBypg",,,,1224987672286040065,https://twitter.com/Sydney_Talker/status/1224987672286040065
