date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-20 19:29:27,_Taaooma,,9,28,452,"My biggest inspiration ever? @theRealAbula !!! Can you please make a few skits again? Come out of retirement na. Give music videos a break juh",,@theRealAbula,,1230575210014920705,https://twitter.com/_Taaooma/status/1230575210014920705
2020-02-20 19:25:33,_Taaooma,Pintojoke,1,0,7,"Well... @theRealAbula is the king when it comes to that .",,@theRealAbula,,1230574226337390593,https://twitter.com/_Taaooma/status/1230574226337390593
2020-02-20 19:24:20,_Taaooma,_beeebah,25,76,1960,"Thanks for having me https://twitter.com/_beeebah/status/1230573108337238016 …",,,,1230573919758888961,https://twitter.com/_Taaooma/status/1230573919758888961
2020-02-19 18:22:29,_Taaooma,legendarylekzzy,1,0,2,"",,,,1230195967703605248,https://twitter.com/_Taaooma/status/1230195967703605248
2020-02-19 17:31:48,_Taaooma,twyse_116,21,157,1186,"https://twitter.com/twyse_116/status/1229990787733213185 …",,,,1230183213370355713,https://twitter.com/_Taaooma/status/1230183213370355713
2020-02-19 17:20:50,_Taaooma,EdoFirstLady,1,0,7,"It’s for the tutorial to be sweet o",,,,1230180451941265408,https://twitter.com/_Taaooma/status/1230180451941265408
2020-02-19 16:28:10,_Taaooma,UnclePamilerin,6,4,174,"You forgot to use bronzer oooo",,,,1230167200952135682,https://twitter.com/_Taaooma/status/1230167200952135682
2020-02-19 00:06:54,_Taaooma,DaddieNicco,3,0,13,"Ubbe is an idiot and Bjorn is foolish",,,,1229920257495764993,https://twitter.com/_Taaooma/status/1229920257495764993
2020-02-18 23:45:10,_Taaooma,TitusJulius9,4,1,61,"No be me and you opic.twitter.com/JLXO4nU3WI",,,,1229914785426309120,https://twitter.com/_Taaooma/status/1229914785426309120
2020-02-18 23:42:29,_Taaooma,OmoKiikan,51,96,800,"WIKIPEDIA Ni!!!https://twitter.com/omokiikan/status/1229812752174256129 …",,,,1229914110508269569,https://twitter.com/_Taaooma/status/1229914110508269569
2020-02-18 23:40:49,_Taaooma,,126,127,1776,"Ragnar Lothbrok Athlestan Lagather",,,,1229913693686845441,https://twitter.com/_Taaooma/status/1229913693686845441
2020-02-18 11:41:35,_Taaooma,twyse_116,0,0,19,"",,,,1229732692373188608,https://twitter.com/_Taaooma/status/1229732692373188608
2020-02-18 11:36:09,_Taaooma,twyse_116,32,7,113,"My question is how will she stand up for there ?",,,,1229731322379296768,https://twitter.com/_Taaooma/status/1229731322379296768
2020-02-18 09:00:55,_Taaooma,UnclePamilerin,7,8,300,"pic.twitter.com/UhhIyD3zUf",,,,1229692256774447105,https://twitter.com/_Taaooma/status/1229692256774447105
2020-02-17 17:53:57,_Taaooma,,146,712,5687,"Just because I asked you to borrow me your pen inside the bank you are now looking at me like you are God’s class captain It’s pen that I borrowed I dinor kill person.",,,,1229464013618192384,https://twitter.com/_Taaooma/status/1229464013618192384
2020-02-17 11:55:13,_Taaooma,onomestephanie,32,71,1218,"Yes, she’s a Muslim",,,,1229373734965972993,https://twitter.com/_Taaooma/status/1229373734965972993
2020-02-17 10:03:59,_Taaooma,,93,47,956,"Tag all the generators you know",,,,1229345741157666816,https://twitter.com/_Taaooma/status/1229345741157666816
2020-02-17 09:53:02,_Taaooma,,1297,7477,25675,"I only answered a question o Ha!pic.twitter.com/eNHJcgKOmi",,,,1229342987085320192,https://twitter.com/_Taaooma/status/1229342987085320192
2020-02-16 19:23:58,_Taaooma,,710,5074,16602,"Oluwa wetin Dey undertake. Why do mothers do this?!pic.twitter.com/0NQfND3riu",,,,1229124279456890881,https://twitter.com/_Taaooma/status/1229124279456890881
2020-02-16 14:38:53,_Taaooma,Marrthingz,117,326,3468,"TAAOOMA is the correct spelling https://twitter.com/marrthingz/status/1229048645527506944 …",,,,1229052533232013312,https://twitter.com/_Taaooma/status/1229052533232013312
