date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-26 23:34:09,Abdool_Haq,GreenMovt,0,0,0,"0162185767 Gt bank",,,,1221577094548852736,https://twitter.com/Abdool_Haq/status/1221577094548852736
2020-01-26 23:27:05,solomonjanet796,GreenMovt,1,0,0,"0122750572 gtbank I wan wake up see alert ooo",,,,1221575316197511168,https://twitter.com/solomonjanet796/status/1221575316197511168
2020-01-26 22:43:42,LITaBABS,joeboy0fficial,0,0,0,"0139735971 Gtbank Ayoola Babafemi",,,,1221564397061050369,https://twitter.com/LITaBABS/status/1221564397061050369
2020-01-26 22:41:23,manlikebola,,0,0,0,"0236004929 GT bank https://twitter.com/GreenMovt/status/1221544055076794368 …pic.twitter.com/gLA3caK7UH",,,,1221563813524385792,https://twitter.com/manlikebola/status/1221563813524385792
2020-01-26 22:38:34,jacob_olatunde,GreenMovt,0,0,0,"Olatunde Jacob Jesubori 0150356476 GT bank. Thanks",,,,1221563105869795328,https://twitter.com/jacob_olatunde/status/1221563105869795328
2020-01-26 22:38:22,samoburger,,1,0,0,"@gtbank_help Imagine the way u treat ur loyal and regular customer, I was very disappointed wit ur customer service after u deducted me 6900. There are a lot of bank out there that doesn't steal their customers money bt instead I prefer to choose u. I'm don wit u",,@gtbank_help,,1221563055319977984,https://twitter.com/samoburger/status/1221563055319977984
2020-01-26 22:36:18,samoburger,,0,0,0,"@gtbank Imagine the way u treat ur loyal and regular customer, I was very disappointed wit ur customer service after u deducted me 6900, I'm done wit ur bank. There are a lot of bank out there that doesn't steal their customers money bt instead I prefer to choose u. I'm don wit u",,@gtbank,,1221562536803405825,https://twitter.com/samoburger/status/1221562536803405825
2020-01-26 22:33:14,LITaBABS,GreenMovt,0,0,0,"0139735971 Gtbank Ayoola Babafemi",,,,1221561764724322304,https://twitter.com/LITaBABS/status/1221561764724322304
2020-01-26 21:58:41,onowu_david,gtbank,0,0,0,"What do I need to open an account with you guys??",,,,1221553066484420608,https://twitter.com/onowu_david/status/1221553066484420608
2020-01-26 21:26:31,Bilkyysu,Bilkyysu,0,0,0,"It’s about to get bad with these people @gtbank_help, ban son munafurci.https://twitter.com/bilkyysu/status/1221517855835009025 …",,@gtbank_help,,1221544973008539649,https://twitter.com/Bilkyysu/status/1221544973008539649
2020-01-26 21:11:03,Toshibasexy,,0,0,0,"@gtbank_help #10000 was transferred to me from another bank, that person has been debited while my gtbank account has not been credited for over 24 hours",,@gtbank_help,#10000,1221541080790859780,https://twitter.com/Toshibasexy/status/1221541080790859780
2020-01-26 21:10:20,Toshibasexy,,0,0,0,"@gtbank #10000 was transferred to me from another bank, that person has been debited while my gtbank account has not been credited for over 24 hours",,@gtbank,#10000,1221540901861953539,https://twitter.com/Toshibasexy/status/1221540901861953539
2020-01-26 21:07:10,Toshibasexy,,1,0,0,"@UNIONBANK_NG I made a transfer to gtbank account, i was debited while the gtbank account haven't been credited for over 24 hours",,@UNIONBANK_NG,,1221540104302473217,https://twitter.com/Toshibasexy/status/1221540104302473217
2020-01-26 21:06:48,Timibass,,0,0,0,"@cenbank @gtbank_help Good evening. I made a transaction of the sum of #1100 using a pos machine on 23rd January 2020 at 2:58pm but the transaction was declined and I was debited. Up on till now I haven’t received the reversal into my account.",,@cenbank @gtbank_help,#1100,1221540010433884170,https://twitter.com/Timibass/status/1221540010433884170
2020-01-26 19:38:46,Bilkyysu,,0,0,2,"Hello @gtbank_help I do hope that the N1000 you debited from my account in the name of debit card in Adetokunbo Ademola, Ikoyi, Lagos will stand for the debit card I’m going to renew tomorrow in Gyadi gyadi, Kano. This is for both our peace of minds.",,@gtbank_help,,1221517855835009025,https://twitter.com/Bilkyysu/status/1221517855835009025
2020-01-26 19:13:37,dammyshona,tundeednuut,0,0,0,"GTBANK #streetfoodznaijakings",,,#streetfoodznaijakings,1221511527016038405,https://twitter.com/dammyshona/status/1221511527016038405
2020-01-26 18:59:14,dazzlingkush007,Sydney_Talker,0,0,1,"Badru Damilare 0231693100 Gtbank Abeg help a brother in need https://twitter.com/Sydney_Talker/status/1221115121608658945 …",,,,1221507907759505411,https://twitter.com/dazzlingkush007/status/1221507907759505411
2020-01-26 18:25:15,Caramel_Lima,,1,0,0,"@accessbank_help it’s like you just like customers yelling on the timeline, that’s why @gtbank_help is>>>>>> Been in your DM, gave all the details, not a single reply. You suck",,@accessbank_help @gtbank_help,,1221499355145871361,https://twitter.com/Caramel_Lima/status/1221499355145871361
2020-01-26 16:00:24,Chyma__,,0,0,0,"@gtbank_help where's my N200pic.twitter.com/TbzImrsBwu",,@gtbank_help,,1221462902386937858,https://twitter.com/Chyma__/status/1221462902386937858
